date,nifty_close,india_vix,nifty_bank_close,nifty_it_close,nifty_pharma_close,nifty_auto_close,fii_net,dii_net,pcr,flow_div_raw,flow_div_pct,pcr_dev_raw,pcr_dev_pct,realized_vol,vol_spread_raw,vol_spread_pct
2015-08-07,8564.599609375,14.90999984741211,18893.33203125,11597.0498046875,12641.0498046875,8803.0,-354.32,-346.71,0.9747,-7.610000000000014,,-0.8157612117962892,,0.1281697337629159,0.020930264711205182,
2015-08-10,8525.599609375,15.470000267028809,18874.78125,11573.900390625,12638.599609375,8745.599609375,-48.89,-299.75,0.9539,250.86,,-0.9707381410864308,,0.12841563355418098,0.026284369116107098,
2015-08-12,8349.4501953125,17.450000762939453,18059.541015625,12006.7998046875,12771.75,8407.150390625,-518.46,590.32,0.8192,-1108.7800000000002,,-2.1146395007131455,,0.14979346622588208,0.024706541403512444,
2015-08-13,8355.849609375,17.020000457763672,18175.189453125,11956.099609375,12913.7001953125,8441.5498046875,-625.9,545.86,0.8233,-1171.76,,-1.8744499091714257,,0.14319325138104336,0.027006753196593375,
2015-08-14,8518.5498046875,16.020000457763672,18723.3828125,12048.4501953125,13137.25,8642.099609375,403.76,179.2,0.9471,224.56,,-0.6865876299904305,,0.15966768086227517,0.000532323715361549,
2015-08-17,8477.2998046875,16.459999084472656,18821.83203125,12001.75,13089.5498046875,8615.4501953125,142.34,183.72,0.8983,-41.379999999999995,,-1.0734933612740847,,0.1578940656485346,0.006705925196191981,
2015-08-18,8466.5498046875,16.360000610351562,18780.630859375,12159.400390625,12980.099609375,8662.5498046875,-255.42,127.5,0.9263,-382.91999999999996,,-0.7710247501527543,,0.15331828595344432,0.01028172015007131,
2015-08-19,8495.150390625,16.68000030517578,18703.033203125,12249.099609375,13335.849609375,8703.2998046875,-423.72,383.32,0.9755,-807.04,,-0.3000582440100896,,0.15401188933573642,0.012788113716021399,
2015-08-20,8372.75,16.979999542236328,18282.88671875,11985.25,13463.75,8553.5498046875,-1007.26,567.87,0.8485,-1575.13,,-1.342026019550745,,0.16166408245476058,0.008135912967602715,
2015-08-21,8299.9501953125,17.110000610351562,18056.990234375,12032.2998046875,13470.0,8381.7001953125,-2340.6,1524.1,0.8106,-3864.7,,-1.5519132499665809,,0.161720836447358,0.009379169656157621,
2015-08-24,7809.0,28.1299991607666,16811.60546875,11455.150390625,12653.2998046875,7773.4501953125,-5275.4,4097.83,0.6909,-9373.23,,-2.266668620471262,,0.25946829721315123,0.021831694394514767,
2015-08-25,7880.7001953125,26.850000381469727,17192.55078125,11376.75,12772.400390625,7920.35009765625,-2080.01,1963.09,0.711,-4043.1000000000004,,-1.8947108132175636,,0.2642887396617975,0.004211264152899741,
2015-08-26,7791.85009765625,25.520000457763672,16917.453125,11284.099609375,12623.0498046875,7882.10009765625,-2345.77,1881.08,0.6834,-4226.85,,-1.8893623226121996,,0.26517550063611595,-0.00997549605847925,
