date,pcr
2018-04-04,1.1305
2018-04-05,1.2798
2018-04-06,1.308
2018-04-09,1.2893
2018-04-10,1.31
2018-04-11,1.2803
2018-04-12,1.337
2018-04-13,1.3337
2018-04-16,1.342
2018-04-17,1.3088
2018-04-18,1.2365
2018-04-19,1.3064
2018-04-20,1.2843
2018-04-23,1.285
2018-04-24,1.2909
2018-04-25,1.2176
2018-04-26,1.3199
2018-04-27,1.3416
2018-04-30,1.3243
2018-05-02,1.2892
2018-05-03,1.2148
2018-05-04,1.19
2018-05-07,1.2571
2018-05-08,1.2688
2018-05-09,1.2943
2018-05-10,1.1699
2018-05-11,1.2266
2018-05-14,1.22
2018-05-15,1.1721
2018-05-16,1.0643
2018-05-17,1.0731
2018-05-18,1.0066
2018-05-21,0.9416
2018-05-22,0.9393
2018-05-23,0.8869
2018-05-24,0.9928
2018-05-25,1.1102
2018-05-28,1.1758
2018-05-29,1.0458
2018-05-30,1.0725
2018-05-31,1.3032
2018-06-01,1.1616
2018-06-04,0.9936
2018-06-05,0.9352
2018-06-06,0.9959
2018-06-07,1.1487
2018-06-08,1.1124
2018-06-11,1.145
2018-06-12,1.1897
2018-06-13,1.1993
2018-06-14,1.1421
2018-06-15,1.105
2018-06-18,1.0779
2018-06-19,1.0385
2018-06-20,1.1272
2018-06-21,1.0609
2018-06-22,1.1837
2018-06-25,1.0597
2018-06-26,1.0581
2018-06-27,0.9599
2018-06-28,1.1549
2018-06-29,1.1446
2018-07-02,1.0781
2018-07-03,1.0984
2018-07-04,1.2026
2018-07-05,1.1418
2018-07-06,1.1415
2018-07-09,1.1805
2018-07-10,1.2652
2018-07-11,1.219
2018-07-12,1.2536
2018-07-13,1.2395
2018-07-16,1.0881
2018-07-17,1.2029
2018-07-18,1.1023
2018-07-19,1.1352
2018-07-20,1.1749
2018-07-23,1.2642
2018-07-24,1.2735
2018-07-25,1.2996
2018-07-26,1.4214
2018-07-27,1.3864
2018-07-30,1.4302
2018-07-31,1.3687
2018-08-01,1.2068
2018-08-02,1.1749
2018-08-03,1.2737
2018-08-06,1.2905
2018-08-07,1.2536
2018-08-08,1.3404
2018-08-09,1.2978
2018-08-10,1.2231
2018-08-13,1.1359
2018-08-14,1.1949
2018-08-16,1.1436
2018-08-17,1.2153
2018-08-20,1.2642
2018-08-21,1.2299
2018-08-23,1.2154
2018-08-24,1.1196
2018-08-27,1.3081
2018-08-28,1.3451
2018-08-29,1.2609
2018-08-30,1.2707
2018-08-31,1.174
2018-09-03,1.0368
2018-09-04,0.9503
2018-09-05,0.9255
2018-09-06,1.0453
2018-09-07,1.1005
2018-09-10,0.9574
2018-09-11,0.8435
2018-09-12,0.9458
2018-09-14,1.0045
2018-09-17,0.9173
2018-09-18,0.8118
2018-09-19,0.8331
2018-09-21,0.8118
2018-09-24,0.7585
2018-09-25,0.8302
2018-09-26,0.829
2018-09-27,1.0944
2018-09-28,1.0712
2018-10-01,1.1485
2018-10-03,1.0098
2018-10-04,0.9859
2018-10-05,0.8802
2018-10-08,0.916
2018-10-09,0.8923
2018-10-10,1.037
2018-10-11,0.9203
2018-10-12,1.013
2018-10-15,1.0183
2018-10-16,1.0378
