date,fii_net,dii_net
2017-11-17,1276.62,1466.94
2017-11-20,-358.74,613.0
2017-11-21,-727.01,825.5
2017-11-22,-441.46,837.22
2017-11-23,73.22,222.21
2017-11-24,-416.28,427.63
2017-11-27,-424.77,69.4
2017-11-28,12.24,-428.15
2017-11-29,-859.27,771.07
2017-11-30,-1500.76,1202.57
2017-12-01,-12.77,-110.08
2017-12-04,-580.7,701.12
2017-12-05,841.8,-710.83
2017-12-06,-169.25,-63.11
2017-12-07,361.25,-330.58
2017-12-09,-1230.74,1313.08
2017-12-10,-668.13,872.54
2017-12-12,843.2,-853.67
2017-12-13,-578.65,-116.48
2017-12-14,232.17,-374.21
2017-12-15,-921.03,635.44
2017-12-18,-431.77,1076.81
2017-12-19,-407.83,357.4
2017-12-20,-1505.04,146.17
2017-12-21,-383.99,1574.3
2017-12-22,107.87,371.53
2017-12-26,-44.07,544.5
2017-12-27,172.32,-206.68
2017-12-28,562.55,-774.09
2017-12-29,595.04,461.37
2018-01-01,325.91,-1300.31
2018-01-02,1099.78,-358.5
2018-01-03,241.85,-3.29
2018-01-06,-202.8,337.97
2018-01-08,-95.94,-562.33
2018-01-10,-1841.63,1804.94
2018-01-15,32.92,-173.28
2018-01-16,693.17,-246.38
2018-01-17,625.13,168.61
2018-01-18,1894.99,-657.46
2018-01-19,988.25,209.86
2018-01-22,1567.51,-461.87
2018-01-23,1229.35,169.03
2018-01-24,776.42,-193.87
2018-01-25,937.31,-965.67
2018-01-29,291.86,90.08
2018-01-30,-105.56,-281.65
2018-01-31,-136.63,1294.66
2018-02-01,522.74,64.7
2018-02-02,950.0,-508.78
2018-02-04,-689.75,413.16
2018-02-05,-525.93,165.84
2018-02-08,-639.87,-340.3
2018-02-11,-196.9,852.99
2018-02-14,-728.71,-152.39
2018-02-15,-240.29,49.92
2018-02-16,-1065.99,1127.78
2018-02-19,-895.79,586.52
2018-02-20,-850.35,1437.24
2018-02-21,-1214.18,1375.48
2018-02-22,-2335.34,1059.42
2018-02-23,-486.32,1514.03
2018-02-26,-1119.51,1409.45
2018-02-27,-906.86,1046.67
2018-02-28,-1750.52,1596.89
2018-03-01,96.31,-269.2
2018-03-04,-376.51,479.18
2018-03-05,-148.42,-578.92
2018-03-07,-1043.31,278.84
2018-03-08,-5.87,87.08
2018-03-09,-21.13,-542.12
2018-03-10,-1550.04,1402.47
2018-03-12,293.12,-806.45
2018-03-13,7028.42,1613.39
2018-03-14,-258.98,-432.03
2018-03-15,-705.4,256.45
2018-03-16,-150.46,-770.53
2018-03-19,292.23,-191.52
2018-03-20,344.16,731.17
2018-03-21,98.44,197.78
2018-03-22,161.11,409.89
2018-03-23,1628.19,-935.41
2018-03-26,-741.19,2017.95
2018-03-27,1063.12,2172.91
2018-03-28,-1190.55,1960.67
2018-04-01,212.05,325.24
2018-04-05,-1628.23,1084.09
2018-04-06,2354.03,-712.41
2018-04-07,-284.58,611.01
2018-04-09,32.64,-21.41
2018-04-10,-2760.63,1823.59
2018-04-12,-55.89,-521.38
2018-04-13,-399.59,306.05
2018-04-16,-308.13,-28.97
2018-04-17,-951.39,723.81
2018-04-18,-915.71,869.7
2018-04-19,-624.99,448.61
2018-04-20,-21.02,111.01
2018-04-23,-259.08,387.26
2018-04-24,-680.99,508.55
2018-04-25,-304.79,435.98
2018-04-26,-1056.34,684.11
2018-04-27,-759.21,633.71
2018-04-30,-385.47,261.98
2018-05-01,581.43,243.13
2018-05-02,-1263.57,1163.64
2018-05-03,-366.6,-154.2
2018-05-04,-108.02,615.28
2018-05-06,-157.51,474.33
2018-05-07,-159.37,-296.97
2018-05-09,-383.67,176.95
2018-05-10,-3370.14,1902.07
2018-05-11,12.34,-621.94
2018-05-12,-357.82,-791.59
2018-05-14,717.99,687.23
2018-05-15,-518.47,531.33
2018-05-16,-699.22,229.06
2018-05-17,-830.94,428.92
2018-05-18,-166.15,149.58
2018-05-21,-496.03,1190.56
2018-05-22,-1651.63,1496.83
2018-05-23,-311.11,789.78
2018-05-24,-701.93,1480.51
2018-05-25,-768.29,887.76
2018-05-28,-795.06,1017.65
2018-05-29,-407.33,578.38
2018-05-30,-1286.91,492.46
2018-05-31,-15.31,-266.02
2018-06-02,-2326.1,1699.74
2018-06-03,620.08,-734.33
2018-06-04,-524.85,1305.45
2018-06-06,-81.4,712.31
2018-06-07,-968.18,1480.82
2018-06-08,248.7,218.64
2018-06-09,-455.0,611.98
2018-06-11,-499.71,118.69
2018-06-12,72.47,-389.78
2018-06-13,-70.77,486.78
2018-06-14,-1372.84,576.19
2018-06-15,-1524.74,561.01
2018-06-18,-754.43,824.1
2018-06-19,-1324.92,653.68
2018-06-20,-2442.61,1473.65
2018-06-21,1126.75,663.57
2018-06-22,-1343.44,1105.76
2018-06-25,198.68,-86.22
2018-06-26,-538.4,238.05
2018-06-27,67.44,84.31
2018-06-28,-951.51,442.64
2018-06-29,-157.15,2262.83
2018-07-02,-1022.5,461.19
